MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
11/25/2023 22:39:42,1.17.0,FR1,3,3.89,nan,1,Left,Left,1,0,0,0,nan,nan,0.15
11/25/2023 22:39:46,1.17.0,FR1,3,3.88,2,1,Pellet,Left,1,0,1,0,0.50,nan,nan
11/25/2023 22:39:54,1.17.0,FR1,3,3.88,nan,1,Left,Left,2,0,1,0,nan,nan,0.07
11/25/2023 22:39:56,1.17.0,FR1,3,3.88,1,1,Pellet,Left,2,0,2,0,1.01,10,nan
11/25/2023 22:46:31,1.17.0,FR1,3,3.88,nan,1,Left,Left,3,0,2,0,nan,nan,0.02
11/25/2023 22:46:32,1.17.0,FR1,3,3.88,nan,1,LeftDuringDispense,Left,3,0,2,0,nan,nan,0.11
11/25/2023 22:46:36,1.17.0,FR1,3,3.89,2,1,Pellet,Left,3,0,3,0,0.94,400,nan
11/25/2023 22:49:10,1.17.0,FR1,3,3.88,nan,1,Left,Left,4,0,3,0,nan,nan,0.09
11/25/2023 22:49:15,1.17.0,FR1,3,3.88,1,1,Pellet,Left,4,0,4,0,3.80,158,nan
11/25/2023 22:49:16,1.17.0,FR1,3,3.89,nan,1,Left,Left,5,0,4,0,nan,nan,0.11
11/25/2023 22:49:17,1.17.0,FR1,3,3.88,1,1,Pellet,Left,5,0,5,0,0.12,3,nan
11/25/2023 22:50:07,1.17.0,FR1,3,3.88,nan,1,Left,Left,6,0,5,0,nan,nan,0.20
11/25/2023 22:50:08,1.17.0,FR1,3,3.88,2,1,Pellet,Left,6,0,6,0,0.63,51,nan
11/25/2023 22:50:22,1.17.0,FR1,3,3.88,nan,1,Right,Left,6,1,6,0,nan,nan,0.01
11/25/2023 22:51:16,1.17.0,FR1,3,3.88,nan,1,Left,Left,7,1,6,0,nan,nan,0.03
11/25/2023 22:51:17,1.17.0,FR1,3,3.88,1,1,Pellet,Left,7,1,7,0,0.63,69,nan
11/25/2023 22:51:56,1.17.0,FR1,3,3.89,nan,1,Left,Left,8,1,7,0,nan,nan,0.01
11/25/2023 22:51:57,1.17.0,FR1,3,3.87,1,1,Pellet,Left,8,1,8,0,0.56,40,nan
11/25/2023 22:53:30,1.17.0,FR1,3,3.88,nan,1,Left,Left,9,1,8,0,nan,nan,0.04
11/25/2023 22:53:32,1.17.0,FR1,3,3.88,1,1,Pellet,Left,9,1,9,0,0.75,95,nan
11/25/2023 22:54:04,1.17.0,FR1,3,3.88,nan,1,Left,Left,10,1,9,0,nan,nan,0.03
11/25/2023 22:54:05,1.17.0,FR1,3,3.88,1,1,Pellet,Left,10,1,10,0,0.37,33,nan
11/25/2023 22:55:15,1.17.0,FR1,3,3.88,nan,1,Left,Left,11,1,10,0,nan,nan,0.10
11/25/2023 22:55:17,1.17.0,FR1,3,3.88,2,1,Pellet,Left,11,1,11,0,0.82,72,nan
11/25/2023 22:55:57,1.17.0,FR1,3,3.88,nan,1,Left,Left,12,1,11,0,nan,nan,0.04
11/25/2023 22:55:59,1.17.0,FR1,3,3.88,1,1,Pellet,Left,12,1,12,0,0.56,42,nan
11/25/2023 22:56:22,1.17.0,FR1,3,3.88,nan,1,Left,Left,13,1,12,0,nan,nan,0.07
11/25/2023 22:56:24,1.17.0,FR1,3,3.88,2,1,Pellet,Left,13,1,13,0,1.83,25,nan
11/25/2023 22:56:42,1.17.0,FR1,3,3.88,nan,1,Left,Left,14,1,13,0,nan,nan,0.42
11/25/2023 22:57:05,1.17.0,FR1,3,3.88,nan,1,LeftWithPellet,Left,14,1,13,0,nan,nan,0.25
11/25/2023 22:57:06,1.17.0,FR1,3,3.88,1,1,Pellet,Left,14,1,14,0,22.56,42,nan
11/25/2023 22:57:40,1.17.0,FR1,3,3.88,nan,1,Left,Left,15,1,14,0,nan,nan,0.08
11/25/2023 22:57:42,1.17.0,FR1,3,3.89,1,1,Pellet,Left,15,1,15,0,0.82,36,nan
11/25/2023 22:59:02,1.17.0,FR1,3,3.88,nan,1,Left,Left,16,1,15,0,nan,nan,0.01
11/25/2023 22:59:03,1.17.0,FR1,3,3.88,1,1,Pellet,Left,16,1,16,0,0.50,81,nan
11/25/2023 22:59:57,1.17.0,FR1,3,3.89,nan,1,Left,Left,17,1,16,0,nan,nan,0.16
11/25/2023 22:59:58,1.17.0,FR1,3,3.88,1,1,Pellet,Left,17,1,17,0,0.44,55,nan
11/25/2023 23:00:59,1.17.0,FR1,3,3.88,nan,1,Left,Left,18,1,17,0,nan,nan,0.00
11/25/2023 23:01:01,1.17.0,FR1,3,3.88,1,1,Pellet,Left,18,1,18,0,0.75,63,nan
11/25/2023 23:02:05,1.17.0,FR1,3,3.88,nan,1,Right,Left,18,2,18,0,nan,nan,0.18
11/25/2023 23:02:28,1.17.0,FR1,3,3.87,nan,1,Left,Left,19,2,18,0,nan,nan,0.22
11/25/2023 23:02:29,1.17.0,FR1,3,3.88,1,1,Pellet,Left,19,2,19,0,0.44,88,nan
11/25/2023 23:03:46,1.17.0,FR1,3,3.89,nan,1,Left,Left,20,2,19,0,nan,nan,0.01
11/25/2023 23:03:47,1.17.0,FR1,3,3.87,2,1,Pellet,Left,20,2,20,0,0.12,78,nan
11/25/2023 23:04:12,1.17.0,FR1,3,3.88,nan,1,Left,Left,21,2,20,0,nan,nan,0.04
11/25/2023 23:04:13,1.17.0,FR1,3,3.88,1,1,Pellet,Left,21,2,21,0,0.44,26,nan
11/25/2023 23:04:36,1.17.0,FR1,3,3.88,nan,1,Left,Left,22,2,21,0,nan,nan,0.09
11/25/2023 23:04:37,1.17.0,FR1,3,3.88,1,1,Pellet,Left,22,2,22,0,0.63,24,nan
11/25/2023 23:04:54,1.17.0,FR1,3,3.88,nan,1,Left,Left,23,2,22,0,nan,nan,0.04
11/25/2023 23:04:55,1.17.0,FR1,3,3.87,1,1,Pellet,Left,23,2,23,0,0.37,18,nan
11/25/2023 23:05:14,1.17.0,FR1,3,3.88,nan,1,Left,Left,24,2,23,0,nan,nan,0.09
11/25/2023 23:05:18,1.17.0,FR1,3,3.87,2,1,Pellet,Left,24,2,24,0,1.07,23,nan
11/25/2023 23:06:12,1.17.0,FR1,3,3.88,nan,1,Left,Left,25,2,24,0,nan,nan,0.00
11/25/2023 23:06:13,1.17.0,FR1,3,3.88,2,1,Pellet,Left,25,2,25,0,0.06,55,nan
11/25/2023 23:07:18,1.17.0,FR1,3,3.88,nan,1,Left,Left,26,2,25,0,nan,nan,0.21
11/25/2023 23:07:19,1.17.0,FR1,3,3.87,1,1,Pellet,Left,26,2,26,0,0.37,66,nan
11/25/2023 23:07:34,1.17.0,FR1,3,3.88,nan,1,Left,Left,27,2,26,0,nan,nan,0.01
11/25/2023 23:07:35,1.17.0,FR1,3,3.88,2,1,Pellet,Left,27,2,27,0,0.06,16,nan
11/25/2023 23:07:46,1.17.0,FR1,3,3.87,nan,1,Left,Left,28,2,27,0,nan,nan,0.15
11/25/2023 23:07:49,1.17.0,FR1,3,3.88,1,1,Pellet,Left,28,2,28,0,1.45,13,nan
11/25/2023 23:08:00,1.17.0,FR1,3,3.87,nan,1,Left,Left,29,2,28,0,nan,nan,0.17
11/25/2023 23:08:01,1.17.0,FR1,3,3.88,1,1,Pellet,Left,29,2,29,0,0.25,13,nan
11/25/2023 23:09:53,1.17.0,FR1,3,3.88,nan,1,Left,Left,30,2,29,0,nan,nan,0.14
11/25/2023 23:09:54,1.17.0,FR1,3,3.88,1,1,Pellet,Left,30,2,30,0,0.37,113,nan
11/25/2023 23:10:14,1.17.0,FR1,3,3.88,nan,1,Left,Left,31,2,30,0,nan,nan,0.09
11/25/2023 23:10:16,1.17.0,FR1,3,3.88,2,1,Pellet,Left,31,2,31,0,0.82,22,nan
11/25/2023 23:11:13,1.17.0,FR1,3,3.89,nan,1,Left,Left,32,2,31,0,nan,nan,0.03
11/25/2023 23:11:14,1.17.0,FR1,3,3.88,1,1,Pellet,Left,32,2,32,0,0.50,58,nan
11/25/2023 23:13:07,1.17.0,FR1,3,3.88,nan,1,Left,Left,33,2,32,0,nan,nan,0.00
11/25/2023 23:13:08,1.17.0,FR1,3,3.88,1,1,Pellet,Left,33,2,33,0,0.56,114,nan
11/25/2023 23:13:42,1.17.0,FR1,3,3.88,nan,1,Left,Left,34,2,33,0,nan,nan,0.11
11/25/2023 23:13:43,1.17.0,FR1,3,3.88,2,1,Pellet,Left,34,2,34,0,0.06,35,nan
11/25/2023 23:14:24,1.17.0,FR1,3,3.87,nan,1,Left,Left,35,2,34,0,nan,nan,0.01
11/25/2023 23:14:25,1.17.0,FR1,3,3.88,1,1,Pellet,Left,35,2,35,0,0.37,42,nan
11/25/2023 23:14:58,1.17.0,FR1,3,3.88,nan,1,Left,Left,36,2,35,0,nan,nan,0.02
11/25/2023 23:14:59,1.17.0,FR1,3,3.88,2,1,Pellet,Left,36,2,36,0,0.06,34,nan
11/25/2023 23:15:09,1.17.0,FR1,3,3.88,nan,1,Right,Left,36,3,36,0,nan,nan,0.01
11/25/2023 23:15:12,1.17.0,FR1,3,3.88,nan,1,Left,Left,37,3,36,0,nan,nan,0.02
11/25/2023 23:15:13,1.17.0,FR1,3,3.88,1,1,Pellet,Left,37,3,37,0,0.44,14,nan
11/25/2023 23:18:07,1.17.0,FR1,3,3.88,nan,1,Right,Left,37,4,37,0,nan,nan,0.14
11/25/2023 23:18:45,1.17.0,FR1,3,3.88,nan,1,Left,Left,38,4,37,0,nan,nan,0.08
11/25/2023 23:18:56,1.17.0,FR1,3,3.88,1,1,Pellet,Left,38,4,38,0,9.45,222,nan
11/25/2023 23:19:41,1.17.0,FR1,3,3.88,nan,1,Left,Left,39,4,38,0,nan,nan,0.14
11/25/2023 23:19:53,1.17.0,FR1,3,3.87,6,1,Pellet,Left,39,4,39,0,0.82,58,nan
11/25/2023 23:20:08,1.17.0,FR1,3,3.88,nan,1,Right,Left,39,5,39,0,nan,nan,0.09
11/25/2023 23:20:27,1.17.0,FR1,3,3.88,nan,1,Left,Left,40,5,39,0,nan,nan,0.20
11/25/2023 23:20:28,1.17.0,FR1,3,3.88,2,1,Pellet,Left,40,5,40,0,0.37,35,nan
11/25/2023 23:23:57,1.17.0,FR1,3,3.87,nan,1,Left,Left,41,5,40,0,nan,nan,0.06
11/25/2023 23:23:59,1.17.0,FR1,3,3.88,2,1,Pellet,Left,41,5,41,0,0.12,211,nan
11/25/2023 23:24:30,1.17.0,FR1,3,3.88,nan,1,Left,Left,42,5,41,0,nan,nan,0.02
11/25/2023 23:24:31,1.17.0,FR1,3,3.88,1,1,Pellet,Left,42,5,42,0,0.50,32,nan
11/25/2023 23:24:48,1.17.0,FR1,3,3.88,nan,1,Left,Left,43,5,42,0,nan,nan,0.02
11/25/2023 23:24:49,1.17.0,FR1,3,3.88,2,1,Pellet,Left,43,5,43,0,0.25,18,nan
11/25/2023 23:25:01,1.17.0,FR1,3,3.88,nan,1,Left,Left,44,5,43,0,nan,nan,0.23
11/25/2023 23:25:02,1.17.0,FR1,3,3.88,2,1,Pellet,Left,44,5,44,0,0.12,13,nan
11/25/2023 23:25:15,1.17.0,FR1,3,3.88,nan,1,Left,Left,45,5,44,0,nan,nan,0.18
11/25/2023 23:25:31,1.17.0,FR1,3,3.88,1,1,Pellet,Left,45,5,45,0,15.63,29,nan
11/25/2023 23:31:22,1.17.0,FR1,3,3.88,nan,1,Right,Left,45,6,45,0,nan,nan,0.15
11/25/2023 23:32:47,1.17.0,FR1,3,3.88,nan,1,Left,Left,46,6,45,0,nan,nan,0.20
11/25/2023 23:33:07,1.17.0,FR1,3,3.87,1,1,Pellet,Left,46,6,46,0,19.58,456,nan
11/25/2023 23:35:41,1.17.0,FR1,3,3.88,nan,1,Left,Left,47,6,46,0,nan,nan,0.15
11/25/2023 23:35:54,1.17.0,FR1,3,3.88,1,1,Pellet,Left,47,6,47,0,11.24,166,nan
11/25/2023 23:36:32,1.17.0,FR1,3,3.87,nan,1,Left,Left,48,6,47,0,nan,nan,0.05
11/25/2023 23:36:34,1.17.0,FR1,3,3.88,1,1,Pellet,Left,48,6,48,0,1.01,40,nan
11/25/2023 23:37:26,1.17.0,FR1,3,3.88,nan,1,Left,Left,49,6,48,0,nan,nan,0.20
11/25/2023 23:37:42,1.17.0,FR1,3,3.88,1,1,Pellet,Left,49,6,49,0,15.76,69,nan
11/25/2023 23:37:47,1.17.0,FR1,3,3.87,nan,1,Left,Left,50,6,49,0,nan,nan,0.19
11/25/2023 23:37:48,1.17.0,FR1,3,3.87,2,1,Pellet,Left,50,6,50,0,0.06,6,nan
11/25/2023 23:38:29,1.17.0,FR1,3,3.87,nan,1,Left,Left,51,6,50,0,nan,nan,0.20
11/25/2023 23:38:35,1.17.0,FR1,3,3.87,nan,1,LeftWithPellet,Left,51,6,50,0,nan,nan,0.03
11/25/2023 23:38:42,1.17.0,FR1,3,3.88,1,1,Pellet,Left,51,6,51,0,13.05,54,nan
11/25/2023 23:38:54,1.17.0,FR1,3,3.88,nan,1,Left,Left,52,6,51,0,nan,nan,0.10
11/25/2023 23:38:55,1.17.0,FR1,3,3.88,nan,1,LeftDuringDispense,Left,52,6,51,0,nan,nan,0.03
11/25/2023 23:39:00,1.17.0,FR1,3,3.87,2,1,Pellet,Left,52,6,52,0,2.53,18,nan
11/25/2023 23:39:05,1.17.0,FR1,3,3.88,nan,1,Left,Left,53,6,52,0,nan,nan,0.20
11/25/2023 23:39:06,1.17.0,FR1,3,3.87,1,1,Pellet,Left,53,6,53,0,0.31,6,nan
11/25/2023 23:39:16,1.17.0,FR1,3,3.88,nan,1,Left,Left,54,6,53,0,nan,nan,0.07
11/25/2023 23:39:17,1.17.0,FR1,3,3.87,2,1,Pellet,Left,54,6,54,0,0.06,11,nan
11/25/2023 23:39:22,1.17.0,FR1,3,3.88,nan,1,Right,Left,54,7,54,0,nan,nan,0.17
11/25/2023 23:39:24,1.17.0,FR1,3,3.88,nan,1,Left,Left,55,7,54,0,nan,nan,0.10
11/25/2023 23:39:25,1.17.0,FR1,3,3.88,1,1,Pellet,Left,55,7,55,0,0.31,7,nan
11/25/2023 23:45:07,1.17.0,FR1,3,3.88,nan,1,Left,Left,56,7,55,0,nan,nan,0.28
11/25/2023 23:45:18,1.17.0,FR1,3,3.87,2,1,Pellet,Left,56,7,56,0,10.03,354,nan
11/25/2023 23:45:57,1.17.0,FR1,3,3.88,nan,1,Left,Left,57,7,56,0,nan,nan,0.02
11/25/2023 23:46:03,1.17.0,FR1,3,3.88,nan,1,LeftWithPellet,Left,57,7,56,0,nan,nan,0.07
11/25/2023 23:46:04,1.17.0,FR1,3,3.87,1,1,Pellet,Left,57,7,57,0,5.96,46,nan
11/25/2023 23:46:12,1.17.0,FR1,3,3.88,nan,1,Left,Left,58,7,57,0,nan,nan,0.01
11/25/2023 23:46:38,1.17.0,FR1,3,3.88,nan,1,LeftWithPellet,Left,58,7,57,0,nan,nan,0.18
11/25/2023 23:46:48,1.17.0,FR1,3,3.88,1,1,Pellet,Left,58,7,58,0,34.82,44,nan
11/25/2023 23:47:02,1.17.0,FR1,3,3.87,nan,1,Left,Left,59,7,58,0,nan,nan,0.21
11/25/2023 23:47:04,1.17.0,FR1,3,3.87,2,1,Pellet,Left,59,7,59,0,1.20,16,nan
11/25/2023 23:47:39,1.17.0,FR1,3,3.88,nan,1,Left,Left,60,7,59,0,nan,nan,0.10
11/25/2023 23:48:51,1.17.0,FR1,3,3.88,2,1,Pellet,Left,60,7,60,0,Timed_out,107,nan
11/25/2023 23:48:58,1.17.0,FR1,3,3.88,nan,1,Left,Left,61,7,60,0,nan,nan,0.17
11/25/2023 23:48:59,1.17.0,FR1,3,3.88,1,1,Pellet,Left,61,7,61,0,0.56,8,nan
11/25/2023 23:49:03,1.17.0,FR1,3,3.87,nan,1,Left,Left,62,7,61,0,nan,nan,0.18
11/25/2023 23:49:12,1.17.0,FR1,3,3.87,nan,1,LeftWithPellet,Left,62,7,61,0,nan,nan,0.18
11/25/2023 23:49:13,1.17.0,FR1,3,3.88,1,1,Pellet,Left,62,7,62,0,9.06,14,nan
11/25/2023 23:50:01,1.17.0,FR1,3,3.88,nan,1,Left,Left,63,7,62,0,nan,nan,0.02
11/25/2023 23:50:17,1.17.0,FR1,3,3.87,nan,1,LeftWithPellet,Left,63,7,62,0,nan,nan,0.18
11/25/2023 23:50:18,1.17.0,FR1,3,3.88,2,1,Pellet,Left,63,7,63,0,16.13,65,nan
11/25/2023 23:50:28,1.17.0,FR1,3,3.87,nan,1,Left,Left,64,7,63,0,nan,nan,0.09
11/25/2023 23:50:29,1.17.0,FR1,3,3.87,1,1,Pellet,Left,64,7,64,0,0.12,11,nan
11/25/2023 23:50:50,1.17.0,FR1,3,3.87,nan,1,Left,Left,65,7,64,0,nan,nan,0.28
11/25/2023 23:50:52,1.17.0,FR1,3,3.88,1,1,Pellet,Left,65,7,65,0,0.88,23,nan
11/25/2023 23:51:51,1.17.0,FR1,3,3.88,nan,1,Left,Left,66,7,65,0,nan,nan,0.02
11/25/2023 23:52:15,1.17.0,FR1,3,3.88,nan,1,LeftWithPellet,Left,66,7,65,0,nan,nan,0.08
11/25/2023 23:52:16,1.17.0,FR1,3,3.88,1,1,Pellet,Left,66,7,66,0,24.38,84,nan
11/25/2023 23:54:42,1.17.0,FR1,3,3.87,nan,1,Left,Left,67,7,66,0,nan,nan,0.08
11/25/2023 23:55:29,1.17.0,FR1,3,3.87,1,1,Pellet,Left,67,7,67,0,46.25,193,nan
11/25/2023 23:55:41,1.17.0,FR1,3,3.87,nan,1,Left,Left,68,7,67,0,nan,nan,0.20
11/25/2023 23:55:45,1.17.0,FR1,3,3.88,2,1,Pellet,Left,68,7,68,0,3.48,16,nan
11/25/2023 23:55:56,1.17.0,FR1,3,3.87,nan,1,Left,Left,69,7,68,0,nan,nan,0.12
11/25/2023 23:56:12,1.17.0,FR1,3,3.87,1,1,Pellet,Left,69,7,69,0,15.45,27,nan
11/25/2023 23:56:24,1.17.0,FR1,3,3.87,nan,1,Left,Left,70,7,69,0,nan,nan,0.23
11/25/2023 23:56:36,1.17.0,FR1,3,3.88,1,1,Pellet,Left,70,7,70,0,10.35,23,nan
11/25/2023 23:56:41,1.17.0,FR1,3,3.87,nan,1,Left,Left,71,7,70,0,nan,nan,0.13
11/25/2023 23:56:41,1.17.0,FR1,3,3.87,nan,1,LeftDuringDispense,Left,71,7,70,0,nan,nan,0.06
11/25/2023 23:56:45,1.17.0,FR1,3,3.87,1,1,Pellet,Left,71,7,71,0,3.67,10,nan
11/25/2023 23:56:50,1.17.0,FR1,3,3.87,nan,1,Left,Left,72,7,71,0,nan,nan,0.05
11/25/2023 23:56:51,1.17.0,FR1,3,3.87,1,1,Pellet,Left,72,7,72,0,0.56,6,nan
11/25/2023 23:58:03,1.17.0,FR1,3,3.87,nan,1,Left,Left,73,7,72,0,nan,nan,0.22
11/25/2023 23:58:05,1.17.0,FR1,3,3.87,1,1,Pellet,Left,73,7,73,0,1.01,74,nan
11/25/2023 23:58:44,1.17.0,FR1,3,3.88,nan,1,Left,Left,74,7,73,0,nan,nan,0.40
11/25/2023 23:58:46,1.17.0,FR1,3,3.87,1,1,Pellet,Left,74,7,74,0,0.44,40,nan
11/25/2023 23:58:50,1.17.0,FR1,3,3.88,nan,1,Left,Left,75,7,74,0,nan,nan,0.20
11/25/2023 23:58:57,1.17.0,FR1,3,3.87,nan,1,LeftWithPellet,Left,75,7,74,0,nan,nan,0.20
11/25/2023 23:58:58,1.17.0,FR1,3,3.87,1,1,Pellet,Left,75,7,75,0,7.05,13,nan
11/25/2023 23:59:01,1.17.0,FR1,3,3.87,nan,1,Left,Left,76,7,75,0,nan,nan,0.08
11/25/2023 23:59:03,1.17.0,FR1,3,3.87,1,1,Pellet,Left,76,7,76,0,1.13,5,nan
11/26/2023 0:01:41,1.17.0,FR1,3,3.88,nan,1,Left,Left,77,7,76,0,nan,nan,0.19
11/26/2023 0:01:46,1.17.0,FR1,3,3.87,nan,1,LeftWithPellet,Left,77,7,76,0,nan,nan,0.06
11/26/2023 0:02:15,1.17.0,FR1,3,3.87,1,1,Pellet,Left,77,7,77,0,33.34,192,nan
11/26/2023 0:02:27,1.17.0,FR1,3,3.87,nan,1,Left,Left,78,7,77,0,nan,nan,0.00
11/26/2023 0:02:42,1.17.0,FR1,3,3.87,nan,1,LeftWithPellet,Left,78,7,77,0,nan,nan,0.05
11/26/2023 0:02:43,1.17.0,FR1,3,3.87,2,1,Pellet,Left,78,7,78,0,14.27,28,nan
11/26/2023 0:03:02,1.17.0,FR1,3,3.87,nan,1,Left,Left,79,7,78,0,nan,nan,0.17
11/26/2023 0:04:43,1.17.0,FR1,3,3.87,nan,1,LeftWithPellet,Left,79,7,78,0,nan,nan,0.05
11/26/2023 0:04:44,1.17.0,FR1,3,3.87,1,1,Pellet,Left,79,7,79,0,Timed_out,121,nan
11/26/2023 0:05:10,1.17.0,FR1,3,3.87,nan,1,Left,Left,80,7,79,0,nan,nan,0.10
11/26/2023 0:05:11,1.17.0,FR1,3,3.88,nan,1,LeftDuringDispense,Left,80,7,79,0,nan,nan,0.04
11/26/2023 0:05:23,1.17.0,FR1,3,3.87,2,1,Pellet,Left,80,7,80,0,9.83,39,nan
11/26/2023 0:30:07,1.17.0,FR1,3,3.87,nan,1,Left,Left,81,7,80,0,nan,nan,0.11
11/26/2023 0:30:11,1.17.0,FR1,3,3.87,nan,1,LeftWithPellet,Left,81,7,80,0,nan,nan,0.08
11/26/2023 0:30:14,1.17.0,FR1,3,3.87,nan,1,LeftWithPellet,Left,81,7,80,0,nan,nan,0.01
11/26/2023 0:30:15,1.17.0,FR1,3,3.87,1,1,Pellet,Left,81,7,81,0,7.25,1492,nan
11/26/2023 0:30:49,1.17.0,FR1,3,3.87,nan,1,Left,Left,82,7,81,0,nan,nan,0.11
11/26/2023 0:30:53,1.17.0,FR1,3,3.87,1,1,Pellet,Left,82,7,82,0,2.72,38,nan
11/26/2023 0:30:59,1.17.0,FR1,3,3.87,nan,1,Left,Left,83,7,82,0,nan,nan,0.19
11/26/2023 0:31:01,1.17.0,FR1,3,3.87,1,1,Pellet,Left,83,7,83,0,1.13,8,nan
11/26/2023 0:31:06,1.17.0,FR1,3,3.87,nan,1,Left,Left,84,7,83,0,nan,nan,0.11
11/26/2023 0:31:07,1.17.0,FR1,3,3.87,2,1,Pellet,Left,84,7,84,0,0.06,6,nan
11/26/2023 0:31:58,1.17.0,FR1,3,3.87,nan,1,Left,Left,85,7,84,0,nan,nan,0.08
11/26/2023 0:32:02,1.17.0,FR1,3,3.87,nan,1,LeftWithPellet,Left,85,7,84,0,nan,nan,0.04
11/26/2023 0:32:05,1.17.0,FR1,3,3.87,2,1,Pellet,Left,85,7,85,0,4.60,58,nan
11/26/2023 0:32:34,1.17.0,FR1,3,3.87,nan,1,Left,Left,86,7,85,0,nan,nan,0.05
11/26/2023 0:32:36,1.17.0,FR1,3,3.87,1,1,Pellet,Left,86,7,86,0,1.13,31,nan
11/26/2023 0:33:34,1.17.0,FR1,3,3.87,nan,1,Left,Left,87,7,86,0,nan,nan,0.05
11/26/2023 0:33:37,1.17.0,FR1,3,3.87,1,1,Pellet,Left,87,7,87,0,2.02,61,nan
11/26/2023 0:34:04,1.17.0,FR1,3,3.87,nan,1,Left,Left,88,7,87,0,nan,nan,0.02
11/26/2023 0:34:06,1.17.0,FR1,3,3.87,1,1,Pellet,Left,88,7,88,0,1.01,28,nan
11/26/2023 0:34:34,1.17.0,FR1,3,3.87,nan,1,Left,Left,89,7,88,0,nan,nan,0.02
11/26/2023 0:34:36,1.17.0,FR1,3,3.87,1,1,Pellet,Left,89,7,89,0,1.26,31,nan
11/26/2023 0:35:01,1.17.0,FR1,3,3.87,nan,1,Left,Left,90,7,89,0,nan,nan,0.00
11/26/2023 0:35:03,1.17.0,FR1,3,3.87,1,1,Pellet,Left,90,7,90,0,0.69,27,nan
11/26/2023 0:35:32,1.17.0,FR1,3,3.87,nan,1,Left,Left,91,7,90,0,nan,nan,0.07
11/26/2023 0:35:34,1.17.0,FR1,3,3.87,1,1,Pellet,Left,91,7,91,0,1.01,31,nan
11/26/2023 0:38:01,1.17.0,FR1,3,3.87,nan,1,Left,Left,92,7,91,0,nan,nan,0.36
11/26/2023 0:39:16,1.17.0,FR1,3,3.87,nan,1,RightWithPellet,Left,92,7,91,0,nan,nan,0.01
11/26/2023 0:39:18,1.17.0,FR1,3,3.87,nan,1,RightWithPellet,Left,92,7,91,0,nan,nan,0.13
11/26/2023 0:39:19,1.17.0,FR1,3,3.87,2,1,Pellet,Left,92,7,92,0,Timed_out,225,nan
11/26/2023 0:40:26,1.17.0,FR1,3,3.87,nan,1,Left,Left,93,7,92,0,nan,nan,0.00
11/26/2023 0:41:04,1.17.0,FR1,3,3.87,1,1,Pellet,Left,93,7,93,0,37.36,105,nan
11/26/2023 0:41:29,1.17.0,FR1,3,3.87,nan,1,Left,Left,94,7,93,0,nan,nan,0.01
11/26/2023 0:41:50,1.17.0,FR1,3,3.87,nan,1,LeftWithPellet,Left,94,7,93,0,nan,nan,0.46
11/26/2023 0:41:51,1.17.0,FR1,3,3.87,1,1,Pellet,Left,94,7,94,0,21.04,47,nan
11/26/2023 0:41:59,1.17.0,FR1,3,3.87,nan,1,Left,Left,95,7,94,0,nan,nan,0.48
11/26/2023 0:42:00,1.17.0,FR1,3,3.88,2,1,Pellet,Left,95,7,95,0,0.06,9,nan
11/26/2023 0:42:26,1.17.0,FR1,3,3.87,nan,1,Left,Left,96,7,95,0,nan,nan,0.21
11/26/2023 0:42:27,1.17.0,FR1,3,3.87,1,1,Pellet,Left,96,7,96,0,0.44,27,nan
11/26/2023 0:43:09,1.17.0,FR1,3,3.87,nan,1,Left,Left,97,7,96,0,nan,nan,0.06
11/26/2023 0:43:10,1.17.0,FR1,3,3.87,nan,1,LeftDuringDispense,Left,97,7,96,0,nan,nan,0.01
11/26/2023 0:43:12,1.17.0,FR1,3,3.87,nan,1,LeftDuringDispense,Left,97,7,96,0,nan,nan,0.06
11/26/2023 0:43:26,1.17.0,FR1,3,3.87,4,1,Pellet,Left,97,7,97,0,10.28,59,nan
11/26/2023 0:44:18,1.17.0,FR1,3,3.87,nan,1,Left,Left,98,7,97,0,nan,nan,0.13
11/26/2023 0:44:20,1.17.0,FR1,3,3.87,1,1,Pellet,Left,98,7,98,0,1.07,54,nan
11/26/2023 0:44:54,1.17.0,FR1,3,3.87,nan,1,Left,Left,99,7,98,0,nan,nan,0.08
11/26/2023 0:44:56,1.17.0,FR1,3,3.86,1,1,Pellet,Left,99,7,99,0,0.82,36,nan
11/26/2023 1:39:38,1.17.0,FR1,3,3.87,nan,1,Left,Left,100,7,99,0,nan,nan,0.23
11/26/2023 1:39:40,1.17.0,FR1,3,3.87,2,1,Pellet,Left,100,7,100,0,0.69,3284,nan
11/26/2023 1:39:45,1.17.0,FR1,3,3.87,nan,1,Left,Left,101,7,100,0,nan,nan,0.24
11/26/2023 1:39:50,1.17.0,FR1,3,3.87,2,1,Pellet,Left,101,7,101,0,1.45,9,nan
11/26/2023 1:40:31,1.17.0,FR1,3,3.87,nan,1,Left,Left,102,7,101,0,nan,nan,0.09
11/26/2023 1:40:32,1.17.0,FR1,3,3.87,1,1,Pellet,Left,102,7,102,0,0.75,43,nan
11/26/2023 1:40:56,1.17.0,FR1,3,3.87,nan,1,Left,Left,103,7,102,0,nan,nan,0.12
11/26/2023 1:40:58,1.17.0,FR1,3,3.87,1,1,Pellet,Left,103,7,103,0,1.39,26,nan
